Compound_id;Compound_common_name;Compound_synonyms;Molecular_weight;Chemical_formula;Smiles;Links;EC;Reaction_equation;Pathway
CPD-10516;2-trans-indole-3-butyryl-CoA;2-trans-indole-3-butyryl-Coenzyme A;950.743;C33 H45 N8 O17 P3 S1 ;C5(N=C(C1(=C(N(C=N1)C2(OC(C(OP(O)(=O)O)C(O)2)COP(=O)(OP(=O)(OCC(C)(C)C(O)C(=O)NCCC(=O)NCCSC(=O)C=CCC3(C4(C(NC=3)=CC=CC=4)))O)O))N=5))N);;EC-4.2;2-trans-indole-3-butyryl-CoA  ->  3-hydroxy-indole-3-butyryl-CoA;IAA biosynthesis VII
CPD-8666;crocin;crocetin digentiobiosyl ester;976.975;C44 H64 O24 ;CC(=CC=CC=C(C)C=CC=C(C)C(=O)OC1(C(C(C(C(O1)COC2(C(C(O)C(C(CO)O2)O)O))O)O)O))C=CC=C(C)C(=O)OC3(OC(C(C(C3O)O)O)COC4(C(C(O)C(C(CO)O4)O)O));CHEBI:79068*HMDB:HMDB02398*CHEMSPIDER:4444645*CHEBI:584345*PUBCHEM:5281233*LIGAND-CPD:C08589;EC-2.4.1.330;UDP-alpha-D-glucose + beta-D-gentiobiosyl beta-D-glucosyl crocetin  ->  crocin + UDP + H+;crocetin esters biosynthesis
CPD-7390;butein 4'-beta-D-glucoside;coreopsin;434.399;C21 H22 O10 ;C(C1(OC(C(C(C1O)O)O)OC2(C=C(O)C(=CC=2)C(C=CC3(C=C(C(=CC=3)O)O))=O)))O;PUBCHEM:12303943*PUBCHEM:25245366;EC-1.21.3.6;butein 4'-beta-D-glucoside + oxygen  ->  aureusidin 6-O-glucoside + H2O;aurone biosynthesis
CPD-8066;ajugose;&alpha;;;;;;;
TRANS-3-METHYL-GLUTACONYL-COA;3-methylglutaconyl-CoA;<i>trans</i>-3-methylglutaconyl-CoA*(<i>E</i>)-3-methylglutaconyl-1-CoA;888.606;C27 H37 N7 O19 P3 S1 ;CC(=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])CC(=O)[O-];PUBCHEM:90657229*CHEBI:15488*HMDB:HMDB01057*CHEBI:1603*PUBCHEM:25244136*LIGAND-CPD:C03231;EC-4.2.1.18;(S)-3-hydroxy-3-methylglutaryl-CoA  <-  3-methylglutaconyl-CoA + H2O;L-leucine degradation I
CPD-10267;decanoyl-CoA;;917.754;C31 H50 N7 O17 P3 S1 ;CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-];REFMET:Decanoyl-CoA*BIGG:dcacoa*METABOLIGHTS:MTBLC61430*HMDB:HMDB06404*BIGG:45478*CHEBI:61430*PUBCHEM:25244140*LIGAND-CPD:C05274;EC-3.1.2.2;decanoyl-CoA + H2O  ->  decanoate + coenzyme A + H+;omega-hydroxylation of caprate and laurate
CPD-11557;aloenin;;410.377;C19 H22 O10 ;CC3(C=C(O)C=C(OC1(OC(CO)C(O)C(O)C(O)1))C(C2(=CC(OC)=CC(=O)O2))=3);PUBCHEM:162305*PUBCHEM:44237202;RXN-10729;hexaketide pyrone + D-glucopyranose  ->  aloenin;aloesone biosynthesis II
CPD-9558;emodin dianthrone;;508.483;C30 H20 O8 ;CC1(=CC2(C(C3(=CC(=CC(=C(C(C(C(=C1)O)=2)=O)3)O)O))=C4(C6(=C(C(C5(=C4C=C(C=C5O)C))=O)C(=CC(=C6)O)O))));CHEMSPIDER:2280018*PUBCHEM:3010921;EC-1.10.3;emodin dianthrone + a reduced electron acceptor + oxygen  ->  protohypericin + an oxidized electron acceptor + 2 H2O + 2 H+;hypericin biosynthesis
CPDQT-416;4-(methylsulfanyl)butyl-desulfoglucosinolate;4-(methylthio)butyl-desulfoglucosinolate;341.437;C12 H23 N1 O6 S2 ;CSCCCCC(=NO)SC1(OC(CO)C(O)C(O)C(O)1);CHEBI:80986*PUBCHEM:90658389*PUBCHEM:46173350;EC-2.8.2.38;4-(methylsulfanyl)butyl-desulfoglucosinolate + 3'-phosphoadenylyl-sulfate  ->  adenosine 3',5'-bisphosphate + 4-(methylthio)butyl-glucosinolate + H+;glucosinolate biosynthesis from dihomomethionine
CPD-17635;(2R)-ethylmalonyl-CoA;(<i>R</i>)-ethylmalonyl-CoA;876.595;C26 H37 N7 O19 P3 S1 ;CCC(C(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])=O)C([O-])=O;CHEBI:85316*PUBCHEM:91666366;EC-5.4.99.63;(2R)-ethylmalonyl-CoA  ->  (2S)-methylsuccinyl-CoA;crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)
CPD-4618;cis-zeatin-7-N-glucoside;;381.388;C16 H23 N5 O6 ;CC(=CCNC1(C2(=C(N=CN=1)N=CN2C3(C(C(C(C(O3)CO)O)O)O))))CO;HMDB:HMDB12201*PUBCHEM:25244153;EC-2.4.1;UDP-alpha-D-glucose + cis-zeatin  ->  cis-zeatin-7-N-glucoside + UDP + H+;cytokinins 7-N-glucoside biosynthesis
CPD-18170;isovitexin 2''-O-arabinosyl 7-O-galactoside;;726.641;C32 H38 O19 ;C1(OC(C(C(O)C1OC6(C(O)C(O)C(CO)OC(C3(=C(OC2(C(C(C(O)C(O2)CO)O)O))C=C4(OC(=CC(=O)C(=C(O)3)4)C5(=CC=C(O)C=C5))))6))O)O);PUBCHEM:102515413;EC-2.4.1;UDP-alpha-D-galactose + isovitexin 2''-O-arabinoside  ->  isovitexin 2''-O-arabinosyl 7-O-galactoside + UDP;isovitexin glycosides biosynthesis
CPD-14820;quercetin-3-gentiobioside;;626.524;C27 H30 O17 ;C(O)C1(OC(C(O)C(O)C(O)1)OCC2(OC(C(O)C(O)C(O)2)OC3(C(C5(=C(OC=3C4(C=CC(O)=C(O)C=4))C=C(O)C=C(O)5))=O)));PUBCHEM:90657242*PUBCHEM:44259146;EC-2.4.1;UDP-alpha-D-glucose + quercetin-3-gentiobioside + quercetin-3-gentiobioside + UDP-alpha-D-glucose  ->  UDP + quercetin-3-gentiotrioside + UDP + H+ + H+;quercetin gentiotetraside biosynthesis
DTDP-DEOH-DEOXY-GLUCOSE;dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose;dTDP-4-dehydro-6-deoxy-&alpha;;;;;;;
DTDP-D-GLUCOSE;dTDP-alpha-D-glucose;TDP-glucose*dTDP-glucose*dTDP-D-glucose;562.317;C16 H24 N2 O16 P2 ;CC1(=CN(C(=O)NC(=O)1)C3(CC(O)C(COP(=O)([O-])OP(=O)([O-])OC2(OC(CO)C(O)C(O)C(O)2))O3));REFMET:dTDP-glucose*BIGG:dtdpglu*HMDB:HMDB01328*METABOLIGHTS:MTBLC57477*BIGG:36175*PUBCHEM:25245397*PUBCHEM:25202390*CHEBI:57477*PUBCHEM:25245397*CAS:2009-24-7*LIGAND-CPD:C00842;EC-4.2.1.46;dTDP-alpha-D-glucose  ->  dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose + H2O;dTDP-L-rhamnose biosynthesis II
CPD-9771;1-methylpyrrolidine-2-acetyl-CoA;;889.68;C28 H44 N8 O17 P3 S1 ;CC(C)(C(O)C(=O)NCCC(=O)NCCSC(CC1([N+](CCC1)C))=O)COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-];PUBCHEM:90657824*PUBCHEM:25202607;RXN-9196;1-methylpyrrolidine-2-acetyl-CoA + acetyl-CoA  ->  4-(1-methyl-2-pyrrolidinyl)-3-oxobutanoyl-CoA + coenzyme A;cocaine biosynthesis
CPD-14847;kaempferol-3-gentiobioside;kaempferol 3-<i>O</i>-&beta;;;;;;;
CPD-7708;malonylshisonin;;841.709;C39 H37 O21 ;C(C1(OC(C(C(C1O)O)O)OC2(=CC4(C(=CC(=CC([O+]=C2C3(=CC(=C(C=C3)O)O))=4)[O-])OC5(C(C(C(C(O5)COC(CC(=O)[O-])=O)O)O)O)))))OC(C=CC6(C=CC(=CC=6)O))=O;PUBCHEM:90657833*LIGAND-CPD:C16299*PUBCHEM:11972402;EC-2.3.1.172;shisonin + malonyl-CoA  ->  malonylshisonin + coenzyme A;superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-O-glucoside)
CPD-15361;3R-hydroxy-(11Z)-eicos-11-enoyl-CoA;;1072.006;C41 H68 N7 O18 P3 S1 ;CCCCCCCCC=CCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-];CHEBI:76387*PUBCHEM:72193763;EC-4.2.1.134;3R-hydroxy-(11Z)-eicos-11-enoyl-CoA  ->  (2E,11Z)-icosa-2,11-dienoyl-CoA + H2O;hydroxylated fatty acid biosynthesis (plants)
CPD-14999;cyanidin 3-O-(6-O-beta-D-glucosyl-2-O-beta-D-xylosyl-beta-D-galactoside);;742.64;C32 H38 O20 ;C(O)C1(C(O)C(O)C(O)C(O1)OCC3(C(O)C(O)C(OC2(OCC(O)C(O)C(O)2))C(O3)OC5(C(C4(=CC=C(O)C(O)=C4))=[O+]C6(C(C=5)=C([O-])C=C(O)C=6))));PUBCHEM:90658401;EC-2.3.1.213;cyanidin 3-O-(6-O-beta-D-glucosyl-2-O-beta-D-xylosyl-beta-D-galactoside) + 1-O-(4-coumaroyl)-beta-D-glucose  ->  cyanidin O-O-[6-O-(6-O-4-hydroxycinnamoyl-beta-D-glucosyl)-2-O-beta-D-xylosyl-beta-D-galactoside] + D-glucopyranose + H+;acylated cyanidin galactoside biosynthesis
CPD-11524;3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxohexanoyl)-CoA;OPC6-3-ketoacyl-CoA;1025.85;C37 H54 N7 O19 P3 S1 ;CCC=CCC1(C(CCC(=O)1)CCCC(=O)CC(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-])=O);PUBCHEM:126961124*PUBCHEM:44237277;EC-2.3.1.16;3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-butanoyl-CoA + acetyl-CoA  <-  3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxohexanoyl)-CoA + coenzyme A;jasmonic acid biosynthesis
CPDQT-421;xi-progoitrin;2-hydroxy-but-3-enyl-glucosinolate*2-hydroxy-but3-enyl-glucosinolate;388.384;C11 H18 N1 O10 S2 ;C=CC(O)CC(=NOS(=O)(=O)[O-])SC1(OC(CO)C(O)C(O)C(O)1);METABOLIGHTS:MTBLC47798*CHEBI:47798*PUBCHEM:17756749;RXN-11450;xi-progoitrin + sinapoyl-CoA  ->  2-sinapoyloxy-3-butenylglucosinolate + coenzyme A;glucosinolate biosynthesis from dihomomethionine
CPD-7141;monodemalonylsalvianin;4'''-demalonylsalvianin*pelargonidin 3-O-(6-caffeoyl-&beta;;;;;;;
CPD-14979;"quercetin 3-O-(6\""-O-feruloyl)-glucoside";;640.553;C31 H28 O15 ;COC5(C=C(C=CC(OCC4(OC(OC3(C(=O)C1(C(=CC(O)=CC(O)=1)OC(C2(C=C(O)C(O)=CC=2))=3)))C(O)C(O)C(O)4))=O)C=CC(O)=5);PUBCHEM:11114901;EC-2.3.1;"4-coumaroyl-CoA + quercetin 3-O-(6\""-O-feruloyl)-glucoside + 4-coumaroyl-CoA  ->  quercetin 3-O-(3\""-O-p-coumaroyl, 6\""-O-feruloyl)-glucoside + coenzyme A + coenzyme A";flavonol acylglucoside biosynthesis III - quercetin derivatives
CPD-14825;luteolin-7-O-gentiobioside;;610.524;C27 H30 O16 ;C1(C=C(O)C(O)=CC=1C2(=CC(=O)C3(C(O)=CC(=CC(O2)=3)OC5(OC(COC4(OC(CO)C(O)C(O)C(O)4))C(O)C(O)C(O)5))));PUBCHEM:14032967;EC-2.4.1;luteolin 7-O-beta-D-glucoside + UDP-alpha-D-glucose  ->  luteolin-7-O-gentiobioside + UDP + H+;luteolin glycosides biosynthesis
3-HYDROXY-PROPIONYL-COA;3-hydroxypropanoyl-CoA;3-hydroxypropionyl-coenzyme A*3-hydroxypropionyl-CoA*3-hydroxypropanoyl coenzymeA;835.566;C24 H36 N7 O18 P3 S1 ;CC(C)(C(O)C(=O)NCCC(=O)NCCSC(CCO)=O)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-];REFMET:3-hydroxypropanoyl-CoA*METABOLIGHTS:MTBLC58528*HMDB:HMDB06807*CHEBI:58528*PUBCHEM:44229175*LIGAND-CPD:C05668;EC-3.1.2.4;3-hydroxypropanoyl-CoA + H2O  ->  3-hydroxypropanoate + coenzyme A + H+;beta-alanine biosynthesis II
PROPIONYL-COA;propanoyl-CoA;n-propionyl-CoA*propionyl-CoA*propionyl-coenzyme A;819.566;C24 H36 N7 O17 P3 S1 ;CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-];REFMET:Propionyl-CoA*PUBCHEM:45266613*BIGG:ppcoa*METABOLIGHTS:MTBLC57392*HMDB:HMDB01275*BIGG:33852*CHEBI:57392*PUBCHEM:25245439*LIGAND-CPD:C00100*CAS:317-66-8;EC-1.3.8;propanoyl-CoA + an oxidized electron-transfer flavoprotein + H+  ->  acryloyl-CoA + a reduced electron-transfer flavoprotein;beta-alanine biosynthesis II
CPD-1142;salicin;salicoside*2-(hydroxymethyl)-phenyl-&beta;;;;;;;
CPD-12575;UDP-alpha-D-glucose;UDPG*UDP-glucose*UDP-D-glucose;564.289;C15 H22 N2 O17 P2 ;C(O)C1(C(O)C(O)C(O)C(O1)OP(OP(=O)([O-])OCC2(OC(C(O)C(O)2)N3(C=CC(=O)NC(=O)3)))([O-])=O);BIGG:udpg*PUBCHEM:16667346*BIGG:33576*LIGAND-CPD:C00029*PUBCHEM:16667346*CHEMSPIDER:10239191*CHEBI:58885;EC-5.1.3.2;UDP-alpha-D-glucose  <-->  UDP-alpha-D-galactose;UDP-alpha-D-galactose biosynthesis
CPD-9440;sophoraflavanone B;8-prenylnaringenin*8-dimethylallylnaringenin;340.375;C20 H20 O5 ;CC(=CCC1(=C(O)C=C(O)C2(C(=O)CC(OC1=2)C3(=CC=C(O)C=C3))))C;PUBCHEM:480764*LIGAND-CPD:C18023*CHEBI:50207*CHEBI:58812*CHEBI:58812*METABOLIGHTS:MTBLC50207*PUBCHEM:25200892;EC-1.14.13.103;sophoraflavanone B + NAD(P)H + oxygen  ->  leachianone G + NAD(P)+ + H2O;sophoraflavanone G biosynthesis
3-METHYL-CROTONYL-COA;3-methylcrotonyl-CoA;&beta;;;;;;;
4-COUMAROYLQUINATE;trans-5-O-(4-coumaroyl)-D-quinate;4-coumaroylquinate*trans-(p-coumaroyl)-quinate*<i>trans</i>-5-<i>O</i>-(4-coumaroyl)quinate;337.305;C16 H17 O8 ;C([O-])(=O)C1(O)(CC(O)C(O)C(C1)OC(=O)C=CC2(=CC=C(O)C=C2));PUBCHEM:40466964*CHEBI:57575*CHEBI:32351*PUBCHEM:25244213*LIGAND-CPD:C12208*PUBCHEM:25244213;EC-1.14.13.36;trans-5-O-(4-coumaroyl)-D-quinate + NADPH + H+ + oxygen  ->  trans-5-O-caffeoyl-D-quinate + NADP+ + H2O;chlorogenic acid biosynthesis I
4-HYDROXY-3-INDOLYLMETHYL-GLUCOSINOLATE;4-hydroxyglucobrassicin;4-hydroxy-3-indolylmethyl-glucosinolate*4-hydroxyindol-3-ylmethylglucosinolate*4-hydroxyglucobrassicin*1-S-[2-(4-hydroxy-1H-indol-3-yl)-N-(sulfooxy)ethanimidoyl]-1-thio-&beta;;;;;;;
CPD-16550;1-O-caffeoyl-beta-D-glucose;1-caffeoyl-&beta;;;;;;;
CPD-12513;UDP-beta-L-arabinopyranose;;534.263;C14 H20 N2 O16 P2 ;C3(OC(OP(=O)([O-])OP(=O)([O-])OCC1(OC(C(O)C(O)1)N2(C=CC(=O)NC(=O)2)))C(O)C(O)C(O)3);CHEBI:61457*PUBCHEM:25246220;EC-2.4.2;UDP-beta-L-arabinopyranose + a (1->4)-beta-D-xylan  ->  an arabinoxylan + UDP;xylan biosynthesis
GLUTACONYL-COA;(E)-glutaconyl-CoA;glutaconyl-coenzyme A*pent-2-enoyl-CoA*glutaconyl-1-CoA*(2<i>E</i>)-4-carboxybut-2-enoyl-CoA;874.579;C26 H35 N7 O19 P3 S1 ;CC(C)(C(O)C(=O)NCCC(=O)NCCSC(C=CCC(=O)[O-])=O)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-];REFMET:4-carboxy-2E-butenoyl-CoA*HMDB:HMDB01290*CHEBI:57353*PUBCHEM:45266582*LIGAND-CPD:C02411*CAS:6712-05-6;EC-4.1.1.70;(E)-glutaconyl-CoA + H+  <-->  CO2 + crotonyl-CoA;lysine degradation II
CPD-7078;GDP-beta-L-gulose;;603.329;C16 H23 N5 O16 P2 ;C(C4(OC(OP(=O)([O-])OP(=O)([O-])OCC1(OC(C(O)C(O)1)N3(C=NC2(C(=O)NC(N)=NC=23))))C(O)C(O)C(O)4))O;PUBCHEM:90657274*PUBCHEM:25200915*LIGAND-CPD:C15925;EC-2.7.7;GDP-beta-L-gulose + phosphate  ->  beta-L-gulose 1-phosphate + GDP + H+;L-ascorbate biosynthesis II (L-gulose pathway)
LUTEOLIN-7-O-BETA-D-DIGLUCURONIDE;luteolin 7-O-beta-D-diglucuronide;luteolin 7-<i>O</i>-[&beta;;;;;;;
CPD-11525;3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-butanoyl-CoA;OPC4-CoA;983.813;C35 H52 N7 O18 P3 S1 ;CCC=CCC1(C(CCC(=O)1)CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-]);PUBCHEM:126961074*PUBCHEM:44237211;EC-1.3.3.6;3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-butanoyl-CoA + oxygen  ->  3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(E-buta-2-enoyl)-CoA + hydrogen peroxide;jasmonic acid biosynthesis
DEPHOSPHO-COA;3'-dephospho-CoA;3-dephospho-CoA*dephosphocoenzyme A;685.538;C21 H33 N7 O13 P2 S1 ;CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1(OC(C(O)C(O)1)N3(C=NC2(C(N)=NC=NC=23))))C(O)C(=O)NCCC(=O)NCCS;REFMET:3'-dephospho cOa*BIGG:dpcoa*METABOLIGHTS:MTBLC57328*HMDB:HMDB01373*BIGG:36283*CHEBI:57328*PUBCHEM:45266562*LIGAND-CPD:C00882*CAS:3633-59-8;EC-2.7.1.24;3'-dephospho-CoA + ATP  ->  ADP + coenzyme A + H+;coenzyme A biosynthesis II (eukaryotic)
UDP-SULFOQUINOVOSE;UDP-alpha-D-sulfoquinovopyranose;UDP-6-sulfoquinovose*UDP-sulfoquinovose*UDP-&alpha;;;;;;;
CPD-14836;curcumin 4'-O-beta-D-gentiotetraside;;1016.953;C45 H60 O26 ;COC6(C=C(C=CC(=CC(C=CC1(C=C(C(=CC=1)OC2(C(C(C(C(O2)COC3(C(C(C(C(O3)COC4(C(C(C(C(O4)COC5(C(C(C(C(O5)CO)O)O)O))O)O)O))O)O)O))O)O)O))OC))=O)O)C=CC(O)=6);PUBCHEM:90658969;EC-2.4.1;curcumin 4'-O-beta-D-gentiotrioside + UDP-alpha-D-glucose  ->  curcumin 4'-O-beta-D-gentiotetraside + UDP + H+;curcumin glucoside biosynthesis
CPD-7870;delphinidin-3-O-(6''-O-malonyl)-beta-glucoside-3'-O-beta-glucoside;;711.563;C30 H31 O20 ;C(O)C5(OC(OC1(C(O)=C(O)C=C(C=1)C3(C(OC2(C(O)C(O)C(O)C(COC(CC(=O)[O-])=O)O2))=CC4(C([O+]=3)=CC(O)=CC([O-])=4))))C(O)C(O)C(O)5);CHEBI:55336*CHEBI:58913*PUBCHEM:25201660*LIGAND-CPD:C16304;RXN-8209;UDP-alpha-D-glucose + delphinidin-3-O-(6''-O-malonyl)-beta-glucoside-3'-O-beta-glucoside  ->  ternatin C5 + UDP + 2 H+;ternatin C5 biosynthesis
CPD-14277;(3R)-3-hydroxy-lignoceroyl-CoA;;1130.129;C45 H78 N7 O18 P3 S1 ;CCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(C(O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OCC1(C(OP(=O)([O-])[O-])C(O)C(O1)N3(C=NC2(C(N)=NC=NC=23))))=O;PUBCHEM:72193809*CHEBI:76377;EC-4.2.1.134;(3R)-3-hydroxy-lignoceroyl-CoA  ->  trans-lignocer-2-enoyl-CoA + H2O;very long chain fatty acid biosynthesis II
CPD-8255;fagopyritol B3;;666.583;C24 H42 O21 ;C(C4(C(O)C(O)C(O)C(OCC3(C(O)C(O)C(O)C(OCC2(C(O)C(O)C(O)C(OC1(C(O)C(O)C(O)C(O)C(O)1))O2))O3))O4))O;HMDB:HMDB35323*CHEMSPIDER:8071712*PUBCHEM:9896047;RXN-8437;fagopyritol B2 + a galactoside  ->  fagopyritol B3;B series fagopyritols biosynthesis
CPD-6624;curcumin 4'-O-beta-D-gentiobioside;;692.669;C33 H40 O16 ;COC4(=CC(C=CC(=CC(C=CC1(=CC(=C(C=C1)OC2(C(C(C(C(O2)COC3(C(C(C(C(O3)CO)O)O)O))O)O)O))OC))=O)O)=CC=C(O)4);PUBCHEM:46926100;EC-2.4.1;curcumin 4'-O-beta-D-gentiobioside + UDP-alpha-D-glucose  ->  curcumin 4'-O-beta-D-gentiotrioside + UDP + H+;curcumin glucoside biosynthesis
CPD-14503;steviolbioside;13-<i>O</i>-&beta;;;;;;;
CPD-10542;UDP-fucose;;548.29;C15 H22 N2 O16 P2 ;CC3(OC(OP(=O)([O-])OP(=O)([O-])OCC1(OC(C(O)C(O)1)N2(C=CC(=O)NC(=O)2)))C(O)C(O)C(O)3);PUBCHEM:25200962;RXN-9824;digitoxigenin + UDP-fucose  ->  digitoxigenin 3-O-beta-D-quinovoside + UDP + H+;cardenolide glucosides biosynthesis
CPD-15106;quercetin 3-O-beta-D-glucosylgalactoside;quercetin 3-<i>O</i>-(2\*-<i>O</i>-<i>D</i>-glucopyranosyl;626.524;C27 H30 O17 ;C(C4(OC(OC2(=C(C1(=CC(O)=C(O)C=C1))OC3(=CC(O)=CC(=C(C2=O)3)O)))C(C(O)C4O)OC5(C(C(C(O)C(O5)CO)O)O)))O;PUBCHEM:14185728;EC-2.4.1;UDP-alpha-D-glucose + quercetin 3-galactoside + UDP-alpha-D-glucose  ->  UDP + quercetin 3-O-beta-D-glucosylgalactoside + UDP;quercetin diglycoside biosynthesis (pollen-specific)
3-HYDROXYPROPYL-GLUCOSINOLATE;3-hydroxypropyl-glucosinolate;;376.373;C10 H18 N1 O10 S2 ;C(O)CCC(=NOS(=O)(=O)[O-])SC1(OC(CO)C(O)C(O)C(O)1);PUBCHEM:90658986*PUBCHEM:25245521;RXN-11445;3-hydroxypropyl-glucosinolate + sinapoyl-CoA  ->  3-sinapoyloxypropylglucosinolate + coenzyme A;glucosinolate biosynthesis from homomethionine
CPD-8069;kaempferol 3-O-[6-(4-coumaroyl)-beta-D-glucosyl-(1->2)-glucosyl-(1->2)-beta-D-glucoside;;918.812;C42 H46 O23 ;C(=O)(OCC6(C(O)C(O)C(O)C(OC1(C(C(O)C(OC1OC2(C(C(O)C(OC2OC3(C(C5(C(=CC(=CC(OC=3C4(C=CC(=CC=4)O))=5)O)O))=O))CO)O))CO)O))O6))C=CC7(C=CC(O)=CC=7);PUBCHEM:90658991*PUBCHEM:25245527*METABOLIGHTS:MTBLC31741*CHEBI:31741*PUBCHEM:25245527*LIGAND-CPD:C12636;EC-2.3.1.173;4-coumaroyl-CoA + kaempferol 3-O-beta-D-glucosyl-(1->2)-glucosyl-(1->2)-beta-D-glucoside  ->  kaempferol 3-O-[6-(4-coumaroyl)-beta-D-glucosyl-(1->2)-glucosyl-(1->2)-beta-D-glucoside + coenzyme A;kaempferol triglucoside biosynthesis
VITEXIN;vitexin;apigenin 8-C-glucoside*8C-hexosyl apigenin;431.375;C21 H19 O10 ;C(C4(C(C(C(C(C1(=C(C=C(C2(=C1OC(=CC2=O)C3(C=CC(=CC=3)O)))O)[O-]))O4)O)O)O))O;REFMET:Vitexin*PUBCHEM:49791957*CHEBI:57963*METABOLIGHTS:MTBLC16954*LIPID_MAPS:LMPK12110194*CHEBI:16954*PUBCHEM:25245529*LIGAND-CPD:C01460*CAS:3681-93-4;EC-2.4.1.105;UDP-alpha-D-glucose + vitexin  ->  vitexin 2''-O-beta-D-glucoside + UDP + H+;vitexin and derivatives biosynthesis
INDOL-YLACETYL-MYO-INOSITOL-ARABINOSIDE;indole-3-yl-acetyl-myo-inositol L-arabinoside;indole-3-yl-acetyl-<i>myo</i>-inositol 3-L-arabinoside;469.444;C21 H27 N1 O11 ;C2(=C(C1(C=CC=CC=1N2))CC(=O)OC4(C(OC3(OCC(O)C(O)C(O)3))C(O)C(O)C(O)C(O)4));PUBCHEM:90657295*CHEMSPIDER:389357*PUBCHEM:440406*CHEBI:28071*LIGAND-CPD:C04611;EC-2.4.2.34;UDP-beta-L-arabinopyranose + 1D-1-O-(indol-3-yl)acetyl-myo-inositol  ->  UDP + indole-3-yl-acetyl-myo-inositol L-arabinoside + H+;indole-3-acetate inactivation IX
CPD-8162;1-18:3-2-16:0-digalactosyldiacylglycerol;18:3-16:0-DGDG;915.209;C49 H86 O15 ;CCC=CCC=CCC=CCCCCCCCC(OCC(COC2(OC(COC1(OC(CO)C(O)C(O)C(O)1))C(O)C(O)C(O)2))OC(=O)CCCCCCCCCCCCCCC)=O;PUBCHEM:90657885*PUBCHEM:25245533;EC-1.14.19.35;1-18:2-2-16:0-digalactosyldiacylglycerol + a reduced electron acceptor + oxygen  ->  1-18:3-2-16:0-digalactosyldiacylglycerol + an oxidized electron acceptor + 2 H2O;glycolipid desaturation
CPD1F-461;kaempferol-3-rhamnoside;kaempferol-3-O-rhamnopyranoside;431.375;C21 H19 O10 ;CC4(OC(OC2(=C(C1(=CC=C(O)C=C1))OC3(C(C(=O)2)=C(C=C(C=3)[O-])O)))C(C(C4O)O)O);PUBCHEM:25202794;EC-2.4.1;kaempferol-3-rhamnoside + UDP-beta-L-rhamnose  ->  kaempferol-3-rhamnoside-7-rhamnoside + UDP;kaempferol glycoside biosynthesis (Arabidopsis)
CPD-14506;rebaudioside A;truvia*19-<i>O</i>-&beta;;;;;;;
